outome,propensity
Fully Paid,0.9071936153179336
Charged Off,0.7902323682691841
Fully Paid,0.8032564839254236
Fully Paid,0.8734546937607989
Fully Paid,0.8281803465319463
Fully Paid,0.9168700365642715
Fully Paid,0.8909968028317722
Fully Paid,0.8429858643596913
Fully Paid,0.8233883486713245
Fully Paid,0.8480756613360907
Fully Paid,0.8909660582843011
Fully Paid,0.9629675691061221
Fully Paid,0.9048749717519584
Fully Paid,0.9456618845698574
Fully Paid,0.9195120582460905
Fully Paid,0.8619524885263407
Charged Off,0.7581797786492244
Fully Paid,0.8272025351697612
Fully Paid,0.9373664461781468
Fully Paid,0.8858259706921545
Charged Off,0.7628922001294932
Fully Paid,0.9446602761217977
Fully Paid,0.9008471763251659
Fully Paid,0.8124553991195339
Fully Paid,0.8350912118872892
Charged Off,0.7946469825511677
Fully Paid,0.8502259414491975
Fully Paid,0.8055139643760924
Fully Paid,0.8404941497934992
Charged Off,0.7602985566169488
Fully Paid,0.8140004788817997
Fully Paid,0.8985131321554507
Fully Paid,0.8337189847426626
Fully Paid,0.9224491852341212
Fully Paid,0.9309341489641191
Fully Paid,0.9020143616387791
Fully Paid,0.8382484692365924
Fully Paid,0.8251608307972886
Fully Paid,0.7990241327832033
Fully Paid,0.9004886614800037
Fully Paid,0.8698573577571799
Charged Off,0.7540532227977141
Charged Off,0.7801836402401894
Fully Paid,0.8398918947257181
Fully Paid,0.8899375659583495
Fully Paid,0.8924451116066467
Fully Paid,0.8849884824927204
Fully Paid,0.8976393767554495
Fully Paid,0.8768677074003803
